,日期,单位净值,累计净值,涨跌幅
0,2023-01-13,1.3,1.55,0.23
1,2023-01-12,1.297,1.547,0
2,2023-01-11,1.297,1.547,-0.08
3,2023-01-10,1.298,1.548,0.08
4,2023-01-09,1.297,1.547,0.15
5,2023-01-06,1.295,1.545,0.23
6,2023-01-05,1.292,1.542,0.54
7,2023-01-04,1.285,1.535,-0.16
8,2023-01-03,1.287,1.537,0.31
9,2022-12-31,1.283,1.533,--
10,2022-12-30,1.283,1.533,0.08
11,2022-12-29,1.282,1.532,0
12,2022-12-28,1.282,1.532,-0.16
13,2022-12-27,1.284,1.534,0.39
14,2022-12-26,1.279,1.529,0.47
15,2022-12-23,1.273,1.523,-0.16
16,2022-12-22,1.275,1.525,-0.08
17,2022-12-21,1.276,1.526,-0.08
18,2022-12-20,1.277,1.527,-0.31
19,2022-12-19,1.281,1.531,-0.23
20,2022-12-16,1.284,1.534,-0.23
21,2022-12-15,1.287,1.537,0.16
22,2022-12-14,1.285,1.535,0.08
23,2022-12-13,1.284,1.534,-0.47
24,2022-12-12,1.29,1.54,-0.31
25,2022-12-09,1.294,1.544,0.08
26,2022-12-08,1.293,1.543,-0.15
27,2022-12-07,1.295,1.545,-0.08
28,2022-12-06,1.296,1.546,0
29,2022-12-05,1.296,1.546,-0.23
30,2022-12-02,1.299,1.549,-0.08
31,2022-12-01,1.3,1.55,0.23
32,2022-11-30,1.297,1.547,-0.08
33,2022-11-29,1.298,1.548,0.23
34,2022-11-28,1.295,1.545,-0.23
35,2022-11-25,1.298,1.548,-0.15
36,2022-11-24,1.3,1.55,0.08
37,2022-11-23,1.299,1.549,0.15
38,2022-11-22,1.297,1.547,-0.23
39,2022-11-21,1.3,1.55,0.15
40,2022-11-18,1.298,1.548,-0.08
41,2022-11-17,1.299,1.549,-0.31
42,2022-11-16,1.303,1.553,-0.53
43,2022-11-15,1.31,1.56,0.31
44,2022-11-14,1.306,1.556,-0.84
45,2022-11-11,1.317,1.567,0.46
46,2022-11-10,1.311,1.561,-0.61
47,2022-11-09,1.319,1.569,-0.38
48,2022-11-08,1.324,1.574,-0.15
49,2022-11-07,1.326,1.576,-0.23
50,2022-11-04,1.329,1.579,0.61
51,2022-11-03,1.321,1.571,0.15
