,日期,单位净值,累计净值,涨跌幅
0,2022-07-11,1.6829,1.6829,-1.32
1,2022-07-08,1.7054,1.7054,-1
2,2022-07-07,1.7226,1.7226,0.6
3,2022-07-06,1.7123,1.7123,-1.19
4,2022-07-05,1.733,1.733,-0.28
5,2022-07-04,1.7378,1.7378,0.67
6,2022-07-01,1.7262,1.7262,0.11
7,2022-06-30,1.7243,1.7243,2.11
8,2022-06-29,1.6887,1.6887,-1.36
9,2022-06-28,1.7119,1.7119,0.83
10,2022-06-27,1.6978,1.6978,1.33
11,2022-06-24,1.6755,1.6755,1.06
12,2022-06-23,1.658,1.658,2.28
13,2022-06-22,1.6211,1.6211,-1.49
14,2022-06-21,1.6457,1.6457,-0.53
15,2022-06-20,1.6544,1.6544,0.41
16,2022-06-17,1.6476,1.6476,1.11
17,2022-06-16,1.6295,1.6295,-0.12
18,2022-06-15,1.6315,1.6315,-0.09
19,2022-06-14,1.6329,1.6329,0
20,2022-06-13,1.6329,1.6329,-1.39
21,2022-06-10,1.656,1.656,2.4
22,2022-06-09,1.6172,1.6172,-1.17
23,2022-06-08,1.6364,1.6364,1.24
24,2022-06-07,1.6164,1.6164,0.45
25,2022-06-06,1.6091,1.6091,2.35
26,2022-06-02,1.5722,1.5722,0.98
27,2022-06-01,1.557,1.557,0.05
28,2022-05-31,1.5562,1.5562,1.35
29,2022-05-30,1.5354,1.5354,0.87
30,2022-05-27,1.5222,1.5222,0.22
31,2022-05-26,1.5189,1.5189,0.56
32,2022-05-25,1.5105,1.5105,0.79
33,2022-05-24,1.4987,1.4987,-2.95
34,2022-05-23,1.5442,1.5442,-0.12
35,2022-05-20,1.546,1.546,1.74
36,2022-05-19,1.5195,1.5195,0.49
37,2022-05-18,1.5121,1.5121,-0.53
38,2022-05-17,1.5201,1.5201,1.29
39,2022-05-16,1.5007,1.5007,-0.04
40,2022-05-13,1.5013,1.5013,1.04
41,2022-05-12,1.4858,1.4858,-0.44
42,2022-05-11,1.4923,1.4923,1.34
43,2022-05-10,1.4726,1.4726,1.64
44,2022-05-09,1.4489,1.4489,-0.92
45,2022-05-06,1.4624,1.4624,-2.66
46,2022-05-05,1.5024,1.5024,0.21
47,2022-04-29,1.4993,1.4993,2.71
48,2022-04-28,1.4597,1.4597,0.98
49,2022-04-27,1.4456,1.4456,3.5
50,2022-04-26,1.3967,1.3967,-0.47
51,2022-04-25,1.4033,1.4033,-4.35
52,2022-04-22,1.4671,1.4671,0.43
53,2022-04-21,1.4608,1.4608,-2.31
54,2022-04-20,1.4953,1.4953,-1.97
55,2022-04-19,1.5253,1.5253,0.06
56,2022-04-18,1.5244,1.5244,-0.18
57,2022-04-15,1.5271,1.5271,0.65
58,2022-04-14,1.5173,1.5173,1.78
59,2022-04-13,1.4908,1.4908,-0.5
60,2022-04-12,1.4983,1.4983,0.79
61,2022-04-11,1.4866,1.4866,-2.73
62,2022-04-08,1.5284,1.5284,0.69
63,2022-04-07,1.5179,1.5179,-1.77
64,2022-04-06,1.5452,1.5452,-0.16
65,2022-04-01,1.5477,1.5477,1.43
66,2022-03-31,1.5259,1.5259,-0.79
67,2022-03-30,1.5381,1.5381,2.43
68,2022-03-29,1.5016,1.5016,0.25
69,2022-03-28,1.4978,1.4978,-0.62
70,2022-03-25,1.5072,1.5072,-1.82
71,2022-03-24,1.5351,1.5351,-0.39
72,2022-03-23,1.5411,1.5411,0.62
73,2022-03-22,1.5316,1.5316,0.38
74,2022-03-21,1.5258,1.5258,0.26
75,2022-03-18,1.5219,1.5219,1.06
76,2022-03-17,1.5059,1.5059,2.44
77,2022-03-16,1.47,1.47,4.01
78,2022-03-15,1.4133,1.4133,-5.17
79,2022-03-14,1.4903,1.4903,-3.39
80,2022-03-11,1.5426,1.5426,0.27
81,2022-03-10,1.5385,1.5385,1.46
82,2022-03-09,1.5163,1.5163,-0.84
83,2022-03-08,1.5292,1.5292,-2.52
84,2022-03-07,1.5687,1.5687,-2.53
85,2022-03-04,1.6094,1.6094,-0.81
86,2022-03-03,1.6225,1.6225,-0.73
87,2022-03-02,1.6344,1.6344,-0.92
88,2022-03-01,1.6496,1.6496,1.04
89,2022-02-28,1.6327,1.6327,0.49
90,2022-02-25,1.6248,1.6248,0.65
91,2022-02-24,1.6143,1.6143,-1.94
92,2022-02-23,1.6463,1.6463,1.09
93,2022-02-22,1.6285,1.6285,-1.37
94,2022-02-21,1.6511,1.6511,-0.22
95,2022-02-18,1.6547,1.6547,0.52
96,2022-02-17,1.6462,1.6462,-0.1
97,2022-02-16,1.6478,1.6478,0.52
98,2022-02-15,1.6393,1.6393,0.61
99,2022-02-14,1.6294,1.6294,-1.8
100,2022-02-11,1.6592,1.6592,-0.71
101,2022-02-10,1.671,1.671,0.27
102,2022-02-09,1.6665,1.6665,0.54
103,2022-02-08,1.6576,1.6576,-0.19
104,2022-02-07,1.6607,1.6607,2.39
105,2022-01-28,1.6219,1.6219,-1.4
106,2022-01-27,1.645,1.645,-1.52
107,2022-01-26,1.6704,1.6704,0.45
108,2022-01-25,1.6629,1.6629,-2.24
109,2022-01-24,1.701,1.701,0.53
110,2022-01-21,1.6921,1.6921,-0.87
111,2022-01-20,1.707,1.707,0.02
112,2022-01-19,1.7066,1.7066,-0.69
113,2022-01-18,1.7184,1.7184,1.23
114,2022-01-17,1.6976,1.6976,0.37
115,2022-01-14,1.6914,1.6914,-0.77
116,2022-01-13,1.7045,1.7045,-2.01
117,2022-01-12,1.7394,1.7394,1.01
118,2022-01-11,1.722,1.722,-1.11
119,2022-01-10,1.7414,1.7414,0.65
120,2022-01-07,1.7301,1.7301,-0.3
121,2022-01-06,1.7353,1.7353,-0.53
122,2022-01-05,1.7446,1.7446,-1.39
123,2022-01-04,1.7692,1.7692,-0.29
124,2021-12-31,1.7743,1.7743,0.4
125,2021-12-30,1.7673,1.7673,0.71
126,2021-12-29,1.7548,1.7548,-1.48
127,2021-12-28,1.7811,1.7811,0.44
128,2021-12-27,1.7733,1.7733,-0.44
129,2021-12-24,1.7811,1.7811,-0.22
130,2021-12-23,1.7851,1.7851,0.63
131,2021-12-22,1.774,1.774,0.31
132,2021-12-21,1.7686,1.7686,0.91
133,2021-12-20,1.7527,1.7527,-1.31
134,2021-12-17,1.776,1.776,-1.4
135,2021-12-16,1.8012,1.8012,0.86
136,2021-12-15,1.7858,1.7858,-0.84
137,2021-12-14,1.801,1.801,-0.63
138,2021-12-13,1.8125,1.8125,0.55
139,2021-12-10,1.8025,1.8025,-0.37
140,2021-12-09,1.8092,1.8092,1.48
141,2021-12-08,1.7829,1.7829,1.29
142,2021-12-07,1.7602,1.7602,-0.23
143,2021-12-06,1.7643,1.7643,-0.55
144,2021-12-03,1.7741,1.7741,0.71
145,2021-12-02,1.7616,1.7616,-0.53
146,2021-12-01,1.7709,1.7709,0.02
147,2021-11-30,1.7705,1.7705,-0.58
148,2021-11-29,1.7808,1.7808,-0.31
149,2021-11-26,1.7863,1.7863,-0.53
150,2021-11-25,1.7958,1.7958,-0.18
151,2021-11-24,1.7991,1.7991,0.59
152,2021-11-23,1.7886,1.7886,0.2
153,2021-11-22,1.7851,1.7851,0.96
154,2021-11-19,1.7682,1.7682,1.57
155,2021-11-18,1.7409,1.7409,-0.45
156,2021-11-17,1.7487,1.7487,-0.07
157,2021-11-16,1.75,1.75,-0.29
158,2021-11-15,1.7551,1.7551,-0.03
159,2021-11-12,1.7557,1.7557,0.45
160,2021-11-11,1.7479,1.7479,1.19
161,2021-11-10,1.7274,1.7274,-0.37
162,2021-11-09,1.7338,1.7338,0.56
163,2021-11-08,1.7242,1.7242,1.01
164,2021-11-05,1.7069,1.7069,-1.07
165,2021-11-04,1.7254,1.7254,1.21
166,2021-11-03,1.7047,1.7047,-0.72
167,2021-11-02,1.7171,1.7171,-0.63
168,2021-11-01,1.7279,1.7279,-0.18
