,日期,单位净值,累计净值,涨跌幅
0,2021-09-23,1.355,1.355,1.35
1,2021-09-22,1.337,1.337,-1.42
2,2021-09-17,1.3562,1.3562,1.85
3,2021-09-16,1.3316,1.3316,-1.97
4,2021-09-15,1.3583,1.3583,-1.22
5,2021-09-14,1.3751,1.3751,-0.36
6,2021-09-13,1.38,1.38,-1.48
7,2021-09-10,1.4007,1.4007,1.16
8,2021-09-09,1.3846,1.3846,-2.15
9,2021-09-08,1.415,1.415,-0.01
10,2021-09-07,1.4152,1.4152,0.38
11,2021-09-06,1.4099,1.4099,1.47
12,2021-09-03,1.3895,1.3895,-0.23
13,2021-09-02,1.3927,1.3927,-0.11
14,2021-09-01,1.3942,1.3942,0.64
15,2021-08-31,1.3854,1.3854,0.25
16,2021-08-30,1.382,1.382,0.08
17,2021-08-27,1.3809,1.3809,0.08
18,2021-08-26,1.3798,1.3798,-1.91
19,2021-08-25,1.4066,1.4066,-0.1
20,2021-08-24,1.408,1.408,2.77
21,2021-08-23,1.3701,1.3701,2.1
22,2021-08-20,1.3419,1.3419,-2.69
23,2021-08-19,1.379,1.379,-0.88
24,2021-08-18,1.3913,1.3913,0.56
25,2021-08-17,1.3836,1.3836,-2.34
26,2021-08-16,1.4168,1.4168,-1.05
27,2021-08-13,1.4318,1.4318,-0.62
28,2021-08-12,1.4407,1.4407,-1.5
29,2021-08-11,1.4626,1.4626,-0.37
30,2021-08-10,1.468,1.468,2.17
31,2021-08-09,1.4368,1.4368,0.57
32,2021-08-06,1.4287,1.4287,-1.07
33,2021-08-05,1.4442,1.4442,-1.6
34,2021-08-04,1.4677,1.4677,1.84
35,2021-08-03,1.4412,1.4412,0.35
36,2021-08-02,1.4362,1.4362,1.15
37,2021-07-30,1.4199,1.4199,-2.3
38,2021-07-29,1.4534,1.4534,3.76
39,2021-07-28,1.4007,1.4007,3.82
40,2021-07-27,1.3491,1.3491,-6.14
41,2021-07-26,1.4374,1.4374,-5.43
42,2021-07-23,1.52,1.52,-2.09
43,2021-07-22,1.5525,1.5525,0.45
44,2021-07-21,1.5455,1.5455,-0.39
45,2021-07-20,1.5516,1.5516,-0.6
46,2021-07-19,1.5609,1.5609,-0.54
47,2021-07-16,1.5694,1.5694,-1.03
48,2021-07-15,1.5857,1.5857,0.81
49,2021-07-14,1.573,1.573,-0.06
50,2021-07-13,1.574,1.574,0.22
51,2021-07-12,1.5705,1.5705,1.41
52,2021-07-09,1.5486,1.5486,1.05
53,2021-07-08,1.5325,1.5325,-2.26
54,2021-07-07,1.5679,1.5679,1.34
55,2021-07-06,1.5472,1.5472,-0.56
56,2021-07-05,1.5559,1.5559,-0.92
57,2021-07-02,1.5704,1.5704,-2.62
58,2021-07-01,1.6127,1.6127,0.19
59,2021-06-30,1.6096,1.6096,-0.37
60,2021-06-29,1.6155,1.6155,-0.33
61,2021-06-28,1.6208,1.6208,0.59
62,2021-06-25,1.6113,1.6113,1.49
63,2021-06-24,1.5877,1.5877,0.72
64,2021-06-23,1.5764,1.5764,1.83
65,2021-06-22,1.548,1.548,-0.37
66,2021-06-21,1.5538,1.5538,-0.37
67,2021-06-18,1.5595,1.5595,1.25
68,2021-06-17,1.5402,1.5402,1.11
69,2021-06-16,1.5233,1.5233,-2.16
70,2021-06-15,1.5569,1.5569,-0.03
71,2021-06-11,1.5574,1.5574,0.26
72,2021-06-10,1.5534,1.5534,0.63
73,2021-06-09,1.5436,1.5436,0.27
74,2021-06-08,1.5394,1.5394,-0.39
75,2021-06-07,1.5454,1.5454,-0.5
76,2021-06-04,1.5532,1.5532,0.25
77,2021-06-03,1.5493,1.5493,-1.15
78,2021-06-02,1.5673,1.5673,-0.43
79,2021-06-01,1.574,1.574,1.01
80,2021-05-31,1.5583,1.5583,1.14
81,2021-05-28,1.5407,1.5407,-0.92
82,2021-05-27,1.555,1.555,-0.1
83,2021-05-26,1.5566,1.5566,0.5
84,2021-05-25,1.5488,1.5488,2.16
85,2021-05-24,1.516,1.516,0.76
86,2021-05-21,1.5046,1.5046,-0.11
87,2021-05-20,1.5063,1.5063,1.03
88,2021-05-19,1.4909,1.4909,-0.07
89,2021-05-18,1.4919,1.4919,0.7
90,2021-05-17,1.4816,1.4816,1.9
91,2021-05-14,1.454,1.454,0.76
92,2021-05-13,1.4431,1.4431,-1.33
93,2021-05-12,1.4626,1.4626,0.47
94,2021-05-11,1.4558,1.4558,-0.88
95,2021-05-10,1.4687,1.4687,-0.84
96,2021-05-07,1.4812,1.4812,-2.17
97,2021-05-06,1.514,1.514,-1.56
98,2021-04-30,1.538,1.538,-1.24
99,2021-04-29,1.5573,1.5573,-0.02
100,2021-04-28,1.5576,1.5576,0.69
101,2021-04-27,1.547,1.547,0.67
102,2021-04-26,1.5367,1.5367,-1.34
103,2021-04-23,1.5576,1.5576,1.71
104,2021-04-22,1.5314,1.5314,0.35
105,2021-04-21,1.526,1.526,-1.63
106,2021-04-20,1.5513,1.5513,0.07
107,2021-04-19,1.5502,1.5502,1.54
108,2021-04-16,1.5267,1.5267,0.65
109,2021-04-15,1.5169,1.5169,-0.22
110,2021-04-14,1.5202,1.5202,1.82
111,2021-04-13,1.493,1.493,-0.54
112,2021-04-12,1.5011,1.5011,-1.17
113,2021-04-09,1.5188,1.5188,-1.84
114,2021-04-08,1.5473,1.5473,0.3
115,2021-04-07,1.5426,1.5426,-1.45
116,2021-04-06,1.5653,1.5653,-0.44
117,2021-04-02,1.5722,1.5722,0.52
118,2021-04-01,1.5641,1.5641,2.99
119,2021-03-31,1.5187,1.5187,-0.39
120,2021-03-30,1.5247,1.5247,1.75
121,2021-03-29,1.4985,1.4985,-0.5
