,日期,单位净值,累计净值,涨跌幅
0,2021-09-23,1.756,1.756,-0.57
1,2021-09-22,1.766,1.766,-0.11
2,2021-09-17,1.768,1.768,1.78
3,2021-09-16,1.737,1.737,-1.92
4,2021-09-15,1.771,1.771,-0.28
5,2021-09-14,1.776,1.776,0
6,2021-09-13,1.776,1.776,-0.78
7,2021-09-10,1.79,1.79,0.56
8,2021-09-09,1.78,1.78,-0.17
9,2021-09-08,1.783,1.783,-0.34
10,2021-09-07,1.789,1.789,1.71
11,2021-09-06,1.759,1.759,2.51
12,2021-09-03,1.716,1.716,-0.17
13,2021-09-02,1.719,1.719,-0.98
14,2021-09-01,1.736,1.736,-0.06
15,2021-08-31,1.737,1.737,-1.19
16,2021-08-30,1.758,1.758,0.23
17,2021-08-27,1.754,1.754,0.34
18,2021-08-26,1.748,1.748,-2.46
19,2021-08-25,1.792,1.792,0.17
20,2021-08-24,1.789,1.789,1.42
21,2021-08-23,1.764,1.764,1.73
22,2021-08-20,1.734,1.734,-2.25
23,2021-08-19,1.774,1.774,0.28
24,2021-08-18,1.769,1.769,0.11
25,2021-08-17,1.767,1.767,-2.97
26,2021-08-16,1.821,1.821,-0.71
27,2021-08-13,1.834,1.834,-0.65
28,2021-08-12,1.846,1.846,-0.91
29,2021-08-11,1.863,1.863,0
30,2021-08-10,1.863,1.863,0.92
31,2021-08-09,1.846,1.846,1.32
32,2021-08-06,1.822,1.822,-1.25
33,2021-08-05,1.845,1.845,-0.43
34,2021-08-04,1.853,1.853,1.37
35,2021-08-03,1.828,1.828,0.16
36,2021-08-02,1.825,1.825,2.64
37,2021-07-30,1.778,1.778,-1.44
38,2021-07-29,1.804,1.804,2.33
39,2021-07-28,1.763,1.763,0.63
40,2021-07-27,1.752,1.752,-3.47
41,2021-07-26,1.815,1.815,-3.1
42,2021-07-23,1.873,1.873,-1.68
43,2021-07-22,1.905,1.905,-0.78
44,2021-07-21,1.92,1.92,0.31
45,2021-07-20,1.914,1.914,-0.42
46,2021-07-19,1.922,1.922,0.58
47,2021-07-16,1.911,1.911,-0.98
48,2021-07-15,1.93,1.93,1.26
49,2021-07-14,1.906,1.906,-0.57
50,2021-07-13,1.917,1.917,0.16
51,2021-07-12,1.914,1.914,1
52,2021-07-09,1.895,1.895,-0.26
53,2021-07-08,1.9,1.9,-1.5
54,2021-07-07,1.929,1.929,1.37
55,2021-07-06,1.903,1.903,-0.42
56,2021-07-05,1.911,1.911,0.16
57,2021-07-02,1.908,1.908,-2.7
58,2021-07-01,1.961,1.961,0.93
59,2021-06-30,1.943,1.943,0.94
60,2021-06-29,1.925,1.925,-0.47
61,2021-06-28,1.934,1.934,0.42
62,2021-06-25,1.926,1.926,1.53
63,2021-06-24,1.897,1.897,-0.26
64,2021-06-23,1.902,1.902,0.58
65,2021-06-22,1.891,1.891,0.8
66,2021-06-21,1.876,1.876,0.16
67,2021-06-18,1.873,1.873,-0.05
68,2021-06-17,1.874,1.874,0.43
69,2021-06-16,1.866,1.866,-1.58
70,2021-06-15,1.896,1.896,-0.47
71,2021-06-11,1.905,1.905,-0.68
72,2021-06-10,1.918,1.918,0.31
73,2021-06-09,1.912,1.912,0
74,2021-06-08,1.912,1.912,-0.52
75,2021-06-07,1.922,1.922,0.21
76,2021-06-04,1.918,1.918,0.58
77,2021-06-03,1.907,1.907,-0.47
78,2021-06-02,1.916,1.916,-0.88
79,2021-06-01,1.933,1.933,0.42
80,2021-05-31,1.925,1.925,0.31
81,2021-05-28,1.919,1.919,-1.03
82,2021-05-27,1.939,1.939,0.26
83,2021-05-26,1.934,1.934,-0.31
84,2021-05-25,1.94,1.94,2.97
85,2021-05-24,1.884,1.884,0.05
86,2021-05-21,1.883,1.883,-1.31
87,2021-05-20,1.908,1.908,0.47
88,2021-05-19,1.899,1.899,-0.05
89,2021-05-18,1.9,1.9,-0.16
90,2021-05-17,1.903,1.903,1.87
91,2021-05-14,1.868,1.868,1.47
92,2021-05-13,1.841,1.841,-1.13
93,2021-05-12,1.862,1.862,0.38
94,2021-05-11,1.855,1.855,0.05
95,2021-05-10,1.854,1.854,-0.32
96,2021-05-07,1.86,1.86,-0.96
97,2021-05-06,1.878,1.878,-1
98,2021-04-30,1.897,1.897,-0.58
99,2021-04-29,1.908,1.908,0.32
100,2021-04-28,1.902,1.902,0.16
101,2021-04-27,1.899,1.899,1.23
102,2021-04-26,1.876,1.876,-0.79
103,2021-04-23,1.891,1.891,0.64
104,2021-04-22,1.879,1.879,0.05
105,2021-04-21,1.878,1.878,0.81
106,2021-04-20,1.863,1.863,0.43
107,2021-04-19,1.855,1.855,2.26
108,2021-04-16,1.814,1.814,-0.06
109,2021-04-15,1.815,1.815,-0.71
110,2021-04-14,1.828,1.828,0.72
111,2021-04-13,1.815,1.815,0.28
112,2021-04-12,1.81,1.81,-2.32
113,2021-04-09,1.853,1.853,-1.28
114,2021-04-08,1.877,1.877,0.27
115,2021-04-07,1.872,1.872,-0.37
116,2021-04-06,1.879,1.879,-0.58
117,2021-04-02,1.89,1.89,0.75
118,2021-04-01,1.876,1.876,1.02
119,2021-03-31,1.857,1.857,-1.07
120,2021-03-30,1.877,1.877,1.13
121,2021-03-29,1.856,1.856,0.32
122,2021-03-26,1.85,1.85,2.55
123,2021-03-25,1.804,1.804,-0.17
124,2021-03-24,1.807,1.807,-1.69
125,2021-03-23,1.838,1.838,-0.7
126,2021-03-22,1.851,1.851,0.82
127,2021-03-19,1.836,1.836,-2.39
128,2021-03-18,1.881,1.881,1.24
129,2021-03-17,1.858,1.858,0.49
130,2021-03-16,1.849,1.849,1.04
131,2021-03-15,1.83,1.83,-2.81
132,2021-03-12,1.883,1.883,0.48
133,2021-03-11,1.874,1.874,2.57
134,2021-03-10,1.827,1.827,1.11
135,2021-03-09,1.807,1.807,-2.69
136,2021-03-08,1.857,1.857,-3.48
137,2021-03-05,1.924,1.924,-0.21
138,2021-03-04,1.928,1.928,-3.6
139,2021-03-03,2.0,2.0,2.04
140,2021-03-02,1.96,1.96,-1.16
141,2021-03-01,1.983,1.983,1.28
142,2021-02-26,1.958,1.958,-2.34
143,2021-02-25,2.005,2.005,0.2
144,2021-02-24,2.001,2.001,-2.34
145,2021-02-23,2.049,2.049,-0.34
146,2021-02-22,2.056,2.056,-3.88
147,2021-02-19,2.139,2.139,-1.02
148,2021-02-18,2.161,2.161,-1.64
149,2021-02-10,2.197,2.197,1.29
150,2021-02-09,2.169,2.169,1.93
151,2021-02-08,2.128,2.128,1.72
152,2021-02-05,2.092,2.092,0.43
153,2021-02-04,2.083,2.083,0.05
154,2021-02-03,2.082,2.082,0.63
155,2021-02-02,2.069,2.069,1.03
156,2021-02-01,2.048,2.048,2.09
157,2021-01-29,2.006,2.006,0.1
158,2021-01-28,2.004,2.004,-2.15
159,2021-01-27,2.048,2.048,0.29
160,2021-01-26,2.042,2.042,-2.06
161,2021-01-25,2.085,2.085,0.92
162,2021-01-22,2.066,2.066,1.03
163,2021-01-21,2.045,2.045,1.79
164,2021-01-20,2.009,2.009,1.06
165,2021-01-19,1.988,1.988,-1.73
166,2021-01-18,2.023,2.023,1.35
167,2021-01-15,1.996,1.996,-0.2
168,2021-01-14,2.0,2.0,-1.91
169,2021-01-13,2.039,2.039,-0.97
170,2021-01-12,2.059,2.059,2.23
171,2021-01-11,2.014,2.014,-0.49
172,2021-01-08,2.024,2.024,-0.39
173,2021-01-07,2.032,2.032,1.85
174,2021-01-06,1.995,1.995,0.81
175,2021-01-05,1.979,1.979,1.8
176,2021-01-04,1.944,1.944,0.78
177,2020-12-31,1.929,1.929,1.9
178,2020-12-30,1.893,1.893,1.61
179,2020-12-29,1.863,1.863,0.11
180,2020-12-28,1.861,1.861,-0.16
181,2020-12-25,1.864,1.864,0.92
182,2020-12-24,1.847,1.847,-0.22
183,2020-12-23,1.851,1.851,1.2
184,2020-12-22,1.829,1.829,-1.14
185,2020-12-21,1.85,1.85,1.15
186,2020-12-18,1.829,1.829,-0.49
187,2020-12-17,1.838,1.838,0.71
188,2020-12-16,1.825,1.825,0.55
189,2020-12-15,1.815,1.815,0.28
190,2020-12-14,1.81,1.81,0.84
191,2020-12-11,1.795,1.795,-0.99
192,2020-12-10,1.813,1.813,0.28
193,2020-12-09,1.808,1.808,-1.31
194,2020-12-08,1.832,1.832,-0.43
195,2020-12-07,1.84,1.84,-0.05
196,2020-12-04,1.841,1.841,0.55
197,2020-12-03,1.831,1.831,0.05
198,2020-12-02,1.83,1.83,0.27
199,2020-12-01,1.825,1.825,2.13
200,2020-11-30,1.787,1.787,-0.39
201,2020-11-27,1.794,1.794,1.13
202,2020-11-26,1.774,1.774,-0.45
203,2020-11-25,1.782,1.782,-1.76
204,2020-11-24,1.814,1.814,-0.49
