,日期,单位净值,累计净值,涨跌幅
0,2021-09-23,1.2276,1.3914,-0.12
1,2021-09-22,1.2291,1.3929,0.02
2,2021-09-17,1.2289,1.3927,0.03
3,2021-09-16,1.2285,1.3923,-0.23
4,2021-09-15,1.2313,1.3951,-0.13
5,2021-09-14,1.2329,1.3967,-0.06
6,2021-09-13,1.2337,1.3975,-0.2
7,2021-09-10,1.2362,1.4,0.19
8,2021-09-09,1.2339,1.3977,0.01
9,2021-09-08,1.2338,1.3976,-0.2
10,2021-09-07,1.2363,1.4001,0.25
11,2021-09-06,1.2332,1.397,0.29
12,2021-09-03,1.2296,1.3934,-0.18
13,2021-09-02,1.2318,1.3956,0.15
14,2021-09-01,1.23,1.3938,-0.19
15,2021-08-31,1.2324,1.3962,-0.23
16,2021-08-30,1.2353,1.3991,0.29
17,2021-08-27,1.2317,1.3955,0.04
18,2021-08-26,1.2312,1.395,-0.45
19,2021-08-25,1.2368,1.4006,0.14
20,2021-08-24,1.2351,1.3989,0.24
21,2021-08-23,1.2321,1.3959,0.29
22,2021-08-20,1.2285,1.3923,-0.24
23,2021-08-19,1.2315,1.3953,-0.02
24,2021-08-18,1.2317,1.3955,0.2
25,2021-08-17,1.2292,1.393,-0.44
26,2021-08-16,1.2346,1.3984,0
27,2021-08-13,1.2346,1.3984,-0.29
28,2021-08-12,1.2382,1.402,-0.05
29,2021-08-11,1.2388,1.4026,0
30,2021-08-10,1.2388,1.4026,0.19
31,2021-08-09,1.2364,1.4002,0.02
32,2021-08-06,1.2361,1.3999,-0.14
33,2021-08-05,1.2378,1.4016,-0.09
34,2021-08-04,1.2389,1.4027,0.43
35,2021-08-03,1.2336,1.3974,-0.43
36,2021-08-02,1.2389,1.4027,0.34
37,2021-07-30,1.2347,1.3985,0.08
38,2021-07-29,1.2337,1.3975,0.6
39,2021-07-28,1.2264,1.3902,-0.11
40,2021-07-27,1.2277,1.3915,-0.58
41,2021-07-26,1.2349,1.3987,-0.5
42,2021-07-23,1.2411,1.4049,-0.3
43,2021-07-22,1.2448,1.4086,0.16
44,2021-07-21,1.2428,1.4066,0.06
45,2021-07-20,1.242,1.4058,-0.03
46,2021-07-19,1.2424,1.4062,-0.03
47,2021-07-16,1.2428,1.4066,-0.26
48,2021-07-15,1.2461,1.4099,0.06
49,2021-07-14,1.2453,1.4091,-0.22
50,2021-07-13,1.2481,1.4119,0.19
51,2021-07-12,1.2457,1.4095,0.02
52,2021-07-09,1.2454,1.4092,-0.12
53,2021-07-08,1.2469,1.4107,-0.15
54,2021-07-07,1.2488,1.4126,0.14
55,2021-07-06,1.247,1.4108,-0.06
56,2021-07-05,1.2477,1.4115,0.1
57,2021-07-02,1.2465,1.4103,-0.51
58,2021-07-01,1.2529,1.4167,0.1
59,2021-06-30,1.2516,1.4154,0.14
60,2021-06-29,1.2498,1.4136,-0.17
61,2021-06-28,1.2519,1.4157,0.06
62,2021-06-25,1.2512,1.415,0.31
63,2021-06-24,1.2473,1.4111,0.04
64,2021-06-23,1.2468,1.4106,0.08
65,2021-06-22,1.2458,1.4096,0.11
66,2021-06-21,1.2444,1.4082,-0.09
67,2021-06-18,1.2455,1.4093,-0.15
68,2021-06-17,1.2474,1.4112,0.12
69,2021-06-16,1.2459,1.4097,-0.18
70,2021-06-15,1.2482,1.412,-0.04
71,2021-06-11,1.2487,1.4125,-0.21
72,2021-06-10,1.2513,1.4151,0.02
73,2021-06-09,1.251,1.4148,-0.06
74,2021-06-08,1.2518,1.4156,-0.09
75,2021-06-07,1.2529,1.4167,-0.05
76,2021-06-04,1.2535,1.4173,0.17
77,2021-06-03,1.2514,1.4152,-0.19
78,2021-06-02,1.2538,1.4176,-0.07
79,2021-06-01,1.2547,1.4185,0.05
80,2021-05-31,1.2541,1.4179,0.01
81,2021-05-28,1.254,1.4178,-0.09
82,2021-05-27,1.2551,1.4189,0.12
83,2021-05-26,1.2536,1.4174,0.11
84,2021-05-25,1.2522,1.416,0.47
85,2021-05-24,1.2464,1.4102,0.02
86,2021-05-21,1.2462,1.41,-0.1
87,2021-05-20,1.2474,1.4112,0.14
88,2021-05-19,1.2457,1.4095,-0.11
89,2021-05-18,1.2471,1.4109,0.14
90,2021-05-17,1.2453,1.4091,0.35
91,2021-05-14,1.241,1.4048,0.24
92,2021-05-13,1.238,1.4018,-0.11
93,2021-05-12,1.2394,1.4032,0.21
94,2021-05-11,1.2368,1.4006,0.15
95,2021-05-10,1.235,1.3988,-0.18
96,2021-05-07,1.2372,1.401,-0.19
97,2021-05-06,1.2396,1.4034,-0.06
98,2021-04-30,1.2404,1.4042,-0.09
99,2021-04-29,1.2415,1.4053,0.13
100,2021-04-28,1.2399,1.4037,0.09
101,2021-04-27,1.2388,1.4026,0.26
102,2021-04-26,1.2356,1.3994,-0.22
103,2021-04-23,1.2383,1.4021,0.18
104,2021-04-22,1.2361,1.3999,0.07
105,2021-04-21,1.2352,1.399,0.17
106,2021-04-20,1.2331,1.3969,0.05
107,2021-04-19,1.2325,1.3963,0.26
108,2021-04-16,1.2293,1.3931,0.05
109,2021-04-15,1.2287,1.3925,-0.28
110,2021-04-14,1.2321,1.3959,0.17
111,2021-04-13,1.23,1.3938,0.09
112,2021-04-12,1.2289,1.3927,-0.36
113,2021-04-09,1.2333,1.3971,-0.02
114,2021-04-08,1.2335,1.3973,0.2
115,2021-04-07,1.231,1.3948,-0.14
116,2021-04-06,1.2327,1.3965,-0.03
117,2021-04-02,1.2331,1.3969,0.14
118,2021-04-01,1.2314,1.3952,0.23
119,2021-03-31,1.2286,1.3924,-0.07
120,2021-03-30,1.2294,1.3932,0.38
121,2021-03-29,1.2248,1.3886,0.19
122,2021-03-26,1.2225,1.3863,0.29
123,2021-03-25,1.219,1.3828,0.03
124,2021-03-24,1.2186,1.3824,-0.22
125,2021-03-23,1.2213,1.3851,-0.03
126,2021-03-22,1.2217,1.3855,0.28
127,2021-03-19,1.2183,1.3821,-0.33
128,2021-03-18,1.2223,1.3861,0.24
129,2021-03-17,1.2194,1.3832,0.1
130,2021-03-16,1.2182,1.382,0.4
131,2021-03-15,1.2134,1.3772,-0.31
132,2021-03-12,1.2172,1.381,0.04
133,2021-03-11,1.2167,1.3805,0.57
134,2021-03-10,1.2098,1.3736,0.14
135,2021-03-09,1.2081,1.3719,-0.41
136,2021-03-08,1.2131,1.3769,-0.69
137,2021-03-05,1.2215,1.3853,0.07
138,2021-03-04,1.2206,1.3844,-0.44
139,2021-03-03,1.226,1.3898,0.58
140,2021-03-02,1.2189,1.3827,-0.07
141,2021-03-01,1.2198,1.3836,0.25
142,2021-02-26,1.2168,1.3806,-0.55
143,2021-02-25,1.2235,1.3873,-0.07
144,2021-02-24,1.2244,1.3882,-0.33
145,2021-02-23,1.2284,1.3922,-0.02
146,2021-02-22,1.2287,1.3925,-0.66
147,2021-02-19,1.2369,1.4007,-0.19
148,2021-02-18,1.2392,1.403,-0.1
149,2021-02-10,1.2404,1.4042,0.2
150,2021-02-09,1.2379,1.4017,0.37
151,2021-02-08,1.2333,1.3971,0.35
152,2021-02-05,1.229,1.3928,-0.1
153,2021-02-04,1.2302,1.394,0.29
154,2021-02-03,1.2267,1.3905,0.34
155,2021-02-02,1.2225,1.3863,0.3
156,2021-02-01,1.2188,1.3826,0.4
157,2021-01-29,1.2139,1.3777,0.23
158,2021-01-28,1.2111,1.3749,-0.41
159,2021-01-27,1.2161,1.3799,0.1
160,2021-01-26,1.2149,1.3787,-0.17
161,2021-01-25,1.217,1.3808,0.04
162,2021-01-22,1.2165,1.3803,0.17
163,2021-01-21,1.2144,1.3782,0.09
164,2021-01-20,1.2133,1.3771,0.12
165,2021-01-19,1.2119,1.3757,-0.21
166,2021-01-18,1.2145,1.3783,0.49
167,2021-01-15,1.2086,1.3724,0.3
168,2021-01-14,1.205,1.3688,-0.12
169,2021-01-13,1.2064,1.3702,-0.17
170,2021-01-12,1.2084,1.3722,0.48
171,2021-01-11,1.2026,1.3664,-0.16
172,2021-01-08,1.2045,1.3683,-0.26
173,2021-01-07,1.2076,1.3714,0.26
174,2021-01-06,1.2045,1.3683,0.29
175,2021-01-05,1.201,1.3648,0.18
176,2021-01-04,1.1988,1.3626,-0.16
177,2020-12-31,1.2007,1.3645,0.38
178,2020-12-30,1.1962,1.36,0.3
179,2020-12-29,1.1926,1.3564,0.03
180,2020-12-28,1.1922,1.356,0.21
181,2020-12-25,1.1897,1.3535,0.28
182,2020-12-24,1.1864,1.3502,0.04
183,2020-12-23,1.1859,1.3497,0.16
184,2020-12-22,1.184,1.3478,-0.13
185,2020-12-21,1.1856,1.3494,0.26
186,2020-12-18,1.1825,1.3463,-0.3
187,2020-12-17,1.186,1.3498,0.11
188,2020-12-16,1.1847,1.3485,0.13
189,2020-12-15,1.1832,1.347,0.08
190,2020-12-14,1.1823,1.3461,0.38
191,2020-12-11,1.1778,1.3416,-0.21
192,2020-12-10,1.1803,1.3441,-0.02
193,2020-12-09,1.1805,1.3443,-0.26
194,2020-12-08,1.1836,1.3474,0.01
195,2020-12-07,1.1835,1.3473,-0.08
196,2020-12-04,1.1845,1.3483,0.29
197,2020-12-03,1.1811,1.3449,-0.03
