,日期,单位净值,累计净值,涨跌幅
0,2021-09-17,1.2976,1.2976,0.14
1,2021-09-16,1.2958,1.2958,-1.2
2,2021-09-15,1.3115,1.3115,-0.1
3,2021-09-14,1.3128,1.3128,-0.58
4,2021-09-13,1.3205,1.3205,-0.38
5,2021-09-10,1.3255,1.3255,0.38
6,2021-09-09,1.3205,1.3205,-0.05
7,2021-09-08,1.3212,1.3212,-0.23
8,2021-09-07,1.3242,1.3242,0.81
9,2021-09-06,1.3136,1.3136,0.61
10,2021-09-03,1.3057,1.3057,-0.22
11,2021-09-02,1.3086,1.3086,0.42
12,2021-09-01,1.3031,1.3031,-0.11
13,2021-08-31,1.3045,1.3045,-0.13
14,2021-08-30,1.3062,1.3062,0.22
15,2021-08-27,1.3033,1.3033,0.22
16,2021-08-26,1.3005,1.3005,-0.54
17,2021-08-25,1.3076,1.3076,0.13
18,2021-08-24,1.3059,1.3059,0.33
19,2021-08-23,1.3016,1.3016,1.09
20,2021-08-20,1.2876,1.2876,-0.36
21,2021-08-19,1.2923,1.2923,0.09
22,2021-08-18,1.2911,1.2911,0.41
23,2021-08-17,1.2858,1.2858,-0.8
24,2021-08-16,1.2962,1.2962,-0.09
25,2021-08-13,1.2974,1.2974,-0.18
26,2021-08-12,1.2998,1.2998,-0.25
27,2021-08-11,1.303,1.303,0
28,2021-08-10,1.303,1.303,0.28
29,2021-08-09,1.2994,1.2994,0.33
30,2021-08-06,1.2951,1.2951,-0.13
31,2021-08-05,1.2968,1.2968,0.08
32,2021-08-04,1.2958,1.2958,0.68
33,2021-08-03,1.2871,1.2871,-0.37
34,2021-08-02,1.2919,1.2919,0.84
35,2021-07-30,1.2811,1.2811,-0.08
36,2021-07-29,1.2821,1.2821,1.23
37,2021-07-28,1.2665,1.2665,-0.36
38,2021-07-27,1.2711,1.2711,-1.3
39,2021-07-26,1.2879,1.2879,-0.84
40,2021-07-23,1.2988,1.2988,-0.23
41,2021-07-22,1.3018,1.3018,0.32
42,2021-07-21,1.2976,1.2976,0.64
43,2021-07-20,1.2894,1.2894,0.03
44,2021-07-19,1.289,1.289,0.05
45,2021-07-16,1.2884,1.2884,-0.19
46,2021-07-15,1.2909,1.2909,0.37
47,2021-07-14,1.2861,1.2861,-0.54
48,2021-07-13,1.2931,1.2931,0.14
49,2021-07-12,1.2913,1.2913,0.58
50,2021-07-09,1.2839,1.2839,0.02
51,2021-07-08,1.2836,1.2836,-0.49
52,2021-07-07,1.2899,1.2899,0.64
53,2021-07-06,1.2817,1.2817,0.2
54,2021-07-05,1.2791,1.2791,0.09
55,2021-07-02,1.2779,1.2779,-1.16
56,2021-07-01,1.2929,1.2929,-0.03
57,2021-06-30,1.2933,1.2933,0.4
58,2021-06-29,1.2881,1.2881,-0.36
59,2021-06-28,1.2928,1.2928,-0.17
60,2021-06-25,1.295,1.295,0.58
61,2021-06-24,1.2875,1.2875,0.04
62,2021-06-23,1.287,1.287,0.42
63,2021-06-22,1.2816,1.2816,0.35
64,2021-06-21,1.2771,1.2771,0.16
65,2021-06-18,1.2751,1.2751,0.23
66,2021-06-17,1.2722,1.2722,0.32
67,2021-06-16,1.2681,1.2681,-0.75
68,2021-06-15,1.2777,1.2777,-0.48
69,2021-06-11,1.2839,1.2839,-0.5
70,2021-06-10,1.2904,1.2904,0.25
71,2021-06-09,1.2872,1.2872,0.15
72,2021-06-08,1.2853,1.2853,-0.13
73,2021-06-07,1.287,1.287,0.14
74,2021-06-04,1.2852,1.2852,0.24
75,2021-06-03,1.2821,1.2821,-0.42
76,2021-06-02,1.2875,1.2875,-0.46
77,2021-06-01,1.2934,1.2934,0.11
78,2021-05-31,1.292,1.292,0.37
79,2021-05-28,1.2873,1.2873,-0.03
80,2021-05-27,1.2877,1.2877,0.37
81,2021-05-26,1.283,1.283,0.15
82,2021-05-25,1.2811,1.2811,1.43
83,2021-05-24,1.263,1.263,0.35
84,2021-05-21,1.2586,1.2586,-0.48
85,2021-05-20,1.2647,1.2647,0.17
86,2021-05-19,1.2626,1.2626,-0.17
87,2021-05-18,1.2647,1.2647,0.13
88,2021-05-17,1.263,1.263,0.72
89,2021-05-14,1.254,1.254,1.24
90,2021-05-13,1.2387,1.2387,-0.67
91,2021-05-12,1.247,1.247,0.19
92,2021-05-11,1.2446,1.2446,-0.06
93,2021-05-10,1.2454,1.2454,-0.28
94,2021-05-07,1.2489,1.2489,-0.64
95,2021-05-06,1.257,1.257,-0.19
96,2021-04-30,1.2594,1.2594,-0.28
97,2021-04-29,1.2629,1.2629,0.37
98,2021-04-28,1.2582,1.2582,0.35
99,2021-04-27,1.2538,1.2538,0.14
100,2021-04-26,1.2521,1.2521,-0.52
101,2021-04-23,1.2587,1.2587,0.18
102,2021-04-22,1.2564,1.2564,-0.03
103,2021-04-21,1.2568,1.2568,0.05
104,2021-04-20,1.2562,1.2562,-0.04
105,2021-04-19,1.2567,1.2567,1.08
106,2021-04-16,1.2433,1.2433,0.23
107,2021-04-15,1.2405,1.2405,-0.26
108,2021-04-14,1.2437,1.2437,0.53
109,2021-04-13,1.2372,1.2372,-0.07
110,2021-04-12,1.2381,1.2381,-1.12
111,2021-04-09,1.2521,1.2521,-0.42
112,2021-04-08,1.2574,1.2574,0.04
113,2021-04-07,1.2569,1.2569,-0.33
114,2021-04-06,1.261,1.261,0.06
115,2021-04-02,1.2603,1.2603,0.1
116,2021-04-01,1.2591,1.2591,0.59
117,2021-03-31,1.2517,1.2517,-0.45
118,2021-03-30,1.2573,1.2573,0.64
119,2021-03-29,1.2493,1.2493,0.2
120,2021-03-26,1.2468,1.2468,1.07
121,2021-03-25,1.2336,1.2336,0.2
122,2021-03-24,1.2311,1.2311,-1.2
123,2021-03-23,1.246,1.246,-0.63
124,2021-03-22,1.2539,1.2539,0.8
125,2021-03-19,1.244,1.244,-1.18
126,2021-03-18,1.2589,1.2589,0.47
127,2021-03-17,1.253,1.253,0.11
128,2021-03-16,1.2516,1.2516,0.47
129,2021-03-15,1.2458,1.2458,-0.76
130,2021-03-12,1.2554,1.2554,0.1
131,2021-03-11,1.2541,1.2541,1.24
132,2021-03-10,1.2388,1.2388,0.02
133,2021-03-09,1.2386,1.2386,-1.25
134,2021-03-08,1.2543,1.2543,-1.59
135,2021-03-05,1.2746,1.2746,-0.38
136,2021-03-04,1.2795,1.2795,-1.4
137,2021-03-03,1.2977,1.2977,1.07
138,2021-03-02,1.284,1.284,-0.33
139,2021-03-01,1.2882,1.2882,0.89
140,2021-02-26,1.2768,1.2768,-1.34
141,2021-02-25,1.2942,1.2942,0.48
142,2021-02-24,1.288,1.288,-1.1
143,2021-02-23,1.3023,1.3023,0.25
144,2021-02-22,1.2991,1.2991,-1.32
145,2021-02-19,1.3165,1.3165,-0.25
146,2021-02-18,1.3198,1.3198,0.12
147,2021-02-10,1.3182,1.3182,0.47
148,2021-02-09,1.312,1.312,1.16
149,2021-02-08,1.2969,1.2969,0.71
150,2021-02-05,1.2878,1.2878,-0.19
151,2021-02-04,1.2902,1.2902,-0.37
152,2021-02-03,1.295,1.295,-0.01
153,2021-02-02,1.2951,1.2951,0.73
154,2021-02-01,1.2857,1.2857,0.71
155,2021-01-29,1.2766,1.2766,-0.32
156,2021-01-28,1.2807,1.2807,-1.29
157,2021-01-27,1.2974,1.2974,0.42
158,2021-01-26,1.292,1.292,-1.22
159,2021-01-25,1.3079,1.3079,0.43
160,2021-01-22,1.3023,1.3023,-0.05
161,2021-01-21,1.3029,1.3029,0.66
162,2021-01-20,1.2944,1.2944,0.32
163,2021-01-19,1.2903,1.2903,-0.65
164,2021-01-18,1.2988,1.2988,0.92
165,2021-01-15,1.2869,1.2869,0.31
166,2021-01-14,1.2829,1.2829,-1.09
167,2021-01-13,1.2971,1.2971,-0.55
168,2021-01-12,1.3043,1.3043,1.57
169,2021-01-11,1.2841,1.2841,-0.44
170,2021-01-08,1.2898,1.2898,-0.27
171,2021-01-07,1.2933,1.2933,0.95
172,2021-01-06,1.2811,1.2811,0.37
173,2021-01-05,1.2764,1.2764,0.46
174,2021-01-04,1.2705,1.2705,0.83
175,2020-12-31,1.26,1.26,1.25
176,2020-12-30,1.2444,1.2444,0.89
177,2020-12-29,1.2334,1.2334,-0.43
178,2020-12-28,1.2387,1.2387,0.21
179,2020-12-25,1.2361,1.2361,0.69
180,2020-12-24,1.2276,1.2276,-0.15
181,2020-12-23,1.2295,1.2295,0.78
182,2020-12-22,1.22,1.22,-1.22
183,2020-12-21,1.2351,1.2351,0.82
184,2020-12-18,1.225,1.225,-0.15
185,2020-12-17,1.2269,1.2269,0.47
186,2020-12-16,1.2211,1.2211,0.08
187,2020-12-15,1.2201,1.2201,0.14
188,2020-12-14,1.2184,1.2184,0.69
189,2020-12-11,1.21,1.21,-0.66
190,2020-12-10,1.218,1.218,0
191,2020-12-09,1.218,1.218,-0.71
192,2020-12-08,1.2267,1.2267,0.12
193,2020-12-07,1.2252,1.2252,-0.28
194,2020-12-04,1.2287,1.2287,0.07
195,2020-12-03,1.2279,1.2279,-0.18
196,2020-12-02,1.2301,1.2301,0.06
197,2020-12-01,1.2294,1.2294,1.15
198,2020-11-30,1.2154,1.2154,-0.37
199,2020-11-27,1.2199,1.2199,0.73
200,2020-11-26,1.2111,1.2111,0.07
201,2020-11-25,1.2102,1.2102,-0.82
202,2020-11-24,1.2202,1.2202,-0.2
203,2020-11-23,1.2227,1.2227,0.6
204,2020-11-20,1.2154,1.2154,0.22
205,2020-11-19,1.2127,1.2127,0.47
206,2020-11-18,1.207,1.207,0.1
207,2020-11-17,1.2058,1.2058,-0.13
208,2020-11-16,1.2074,1.2074,0.37
209,2020-11-13,1.203,1.203,-0.46
210,2020-11-12,1.2085,1.2085,0.07
211,2020-11-11,1.2077,1.2077,-0.52
212,2020-11-10,1.214,1.214,-0.16
213,2020-11-09,1.216,1.216,1.01
214,2020-11-06,1.2038,1.2038,-0.33
215,2020-11-05,1.2078,1.2078,1.02
216,2020-11-04,1.1956,1.1956,0.54
217,2020-11-03,1.1892,1.1892,0.67
218,2020-11-02,1.1813,1.1813,0.74
