,日期,单位净值,累计净值,涨跌幅
0,2022-07-11,1.4422,1.9422,-0.26
1,2022-07-08,1.4459,1.9459,-0.08
2,2022-07-07,1.4471,1.9471,0.1
3,2022-07-06,1.4457,1.9457,-0.17
4,2022-07-05,1.4481,1.9481,-0.17
5,2022-07-04,1.4505,1.9505,0.26
6,2022-07-01,1.4468,1.9468,-0.17
7,2022-06-30,1.4493,1.9493,0.57
8,2022-06-29,1.4411,1.9411,-0.46
9,2022-06-28,1.4478,1.9478,0.12
10,2022-06-27,1.4461,1.9461,0.41
11,2022-06-24,1.4402,1.9402,0.53
12,2022-06-23,1.4326,1.9326,0.54
13,2022-06-22,1.4249,1.9249,-0.36
14,2022-06-21,1.43,1.93,-0.08
15,2022-06-20,1.4311,1.9311,0.36
16,2022-06-17,1.426,1.926,0.49
17,2022-06-16,1.4191,1.9191,0.15
18,2022-06-15,1.417,1.917,0.32
19,2022-06-14,1.4125,1.9125,0.19
20,2022-06-13,1.4098,1.9098,-0.34
21,2022-06-10,1.4146,1.9146,0.33
22,2022-06-09,1.41,1.91,-0.35
23,2022-06-08,1.4149,1.9149,0.17
24,2022-06-07,1.4125,1.9125,0.09
25,2022-06-06,1.4113,1.9113,0.41
26,2022-06-02,1.4055,1.9055,0.1
27,2022-06-01,1.4041,1.9041,-0.06
28,2022-05-31,1.405,1.905,0.42
29,2022-05-30,1.3991,1.8991,0.22
30,2022-05-27,1.396,1.896,0.04
31,2022-05-26,1.3955,1.8955,0.16
32,2022-05-25,1.3933,1.8933,0.22
33,2022-05-24,1.3903,1.8903,-0.71
34,2022-05-23,1.4002,1.9002,-0.24
35,2022-05-20,1.4035,1.9035,0.49
36,2022-05-19,1.3967,1.8967,0.06
37,2022-05-18,1.3958,1.8958,-0.1
38,2022-05-17,1.3972,1.8972,0.14
39,2022-05-16,1.3953,1.8953,-0.06
40,2022-05-13,1.3961,1.8961,0.24
41,2022-05-12,1.3927,1.8927,0.01
42,2022-05-11,1.3926,1.8926,0.22
43,2022-05-10,1.3896,1.8896,0.38
44,2022-05-09,1.3843,1.8843,-0.08
45,2022-05-06,1.3854,1.8854,-0.67
