,日期,单位净值,累计净值,涨跌幅
0,2022-07-08,1.3181,1.3181,-0.02
1,2022-07-07,1.3183,1.3183,0.06
2,2022-07-06,1.3175,1.3175,-0.23
3,2022-07-05,1.3206,1.3206,-0.01
4,2022-07-04,1.3207,1.3207,0.01
5,2022-07-01,1.3206,1.3206,-0.04
6,2022-06-30,1.3211,1.3211,0.19
7,2022-06-29,1.3186,1.3186,-0.23
8,2022-06-28,1.3216,1.3216,0.17
9,2022-06-27,1.3194,1.3194,0.17
10,2022-06-24,1.3172,1.3172,0.11
11,2022-06-23,1.3157,1.3157,0.21
12,2022-06-22,1.3129,1.3129,-0.2
13,2022-06-21,1.3155,1.3155,-0.11
14,2022-06-20,1.3169,1.3169,0.03
15,2022-06-17,1.3165,1.3165,0.24
16,2022-06-16,1.3133,1.3133,-0.13
17,2022-06-15,1.315,1.315,0.11
18,2022-06-14,1.3136,1.3136,0.07
19,2022-06-13,1.3127,1.3127,-0.24
20,2022-06-10,1.3158,1.3158,0.57
21,2022-06-09,1.3083,1.3083,-0.34
22,2022-06-08,1.3127,1.3127,0.18
23,2022-06-07,1.3103,1.3103,0.06
24,2022-06-06,1.3095,1.3095,0.77
25,2022-06-02,1.2995,1.2995,0.25
26,2022-06-01,1.2962,1.2962,-0.05
27,2022-05-31,1.2969,1.2969,0.45
28,2022-05-30,1.2911,1.2911,0.32
29,2022-05-27,1.287,1.287,-0.01
30,2022-05-26,1.2871,1.2871,0.28
31,2022-05-25,1.2835,1.2835,0.27
32,2022-05-24,1.28,1.28,-1.23
33,2022-05-23,1.296,1.296,0.02
34,2022-05-20,1.2958,1.2958,0.61
35,2022-05-19,1.2879,1.2879,0.32
36,2022-05-18,1.2838,1.2838,0.02
37,2022-05-17,1.2836,1.2836,0.64
38,2022-05-16,1.2754,1.2754,-0.2
39,2022-05-13,1.2779,1.2779,0.26
40,2022-05-12,1.2746,1.2746,-0.07
41,2022-05-11,1.2755,1.2755,0.64
42,2022-05-10,1.2674,1.2674,0.71
43,2022-05-09,1.2585,1.2585,-0.02
44,2022-05-06,1.2588,1.2588,-0.8
45,2022-05-05,1.269,1.269,0.1
46,2022-04-29,1.2677,1.2677,1.17
47,2022-04-28,1.2531,1.2531,0.13
48,2022-04-27,1.2515,1.2515,1.38
49,2022-04-26,1.2345,1.2345,-0.55
50,2022-04-25,1.2413,1.2413,-1.84
51,2022-04-22,1.2646,1.2646,-0.05
52,2022-04-21,1.2652,1.2652,-0.86
53,2022-04-20,1.2762,1.2762,-0.61
54,2022-04-19,1.284,1.284,-0.15
55,2022-04-18,1.2859,1.2859,0.12
56,2022-04-15,1.2843,1.2843,-0.21
57,2022-04-14,1.287,1.287,0.28
58,2022-04-13,1.2834,1.2834,-0.36
59,2022-04-12,1.288,1.288,0.41
60,2022-04-11,1.2827,1.2827,-1.22
61,2022-04-08,1.2986,1.2986,0.02
62,2022-04-07,1.2983,1.2983,-0.46
63,2022-04-06,1.3043,1.3043,-0.26
64,2022-04-01,1.3077,1.3077,0.32
65,2022-03-31,1.3035,1.3035,-0.44
66,2022-03-30,1.3093,1.3093,0.82
67,2022-03-29,1.2986,1.2986,-0.09
68,2022-03-28,1.2998,1.2998,-0.24
69,2022-03-25,1.3029,1.3029,-0.51
70,2022-03-24,1.3096,1.3096,-0.31
71,2022-03-23,1.3137,1.3137,0.11
72,2022-03-22,1.3122,1.3122,-0.14
73,2022-03-21,1.314,1.314,0.19
74,2022-03-18,1.3115,1.3115,0.15
75,2022-03-17,1.3095,1.3095,0.52
76,2022-03-16,1.3027,1.3027,1.18
77,2022-03-15,1.2875,1.2875,-1.25
78,2022-03-14,1.3038,1.3038,-0.79
79,2022-03-11,1.3142,1.3142,0.02
80,2022-03-10,1.3139,1.3139,0.53
81,2022-03-09,1.307,1.307,-0.35
82,2022-03-08,1.3116,1.3116,-0.85
83,2022-03-07,1.3228,1.3228,-0.88
84,2022-03-04,1.3346,1.3346,-0.52
85,2022-03-03,1.3416,1.3416,-0.34
86,2022-03-02,1.3462,1.3462,-0.25
87,2022-03-01,1.3496,1.3496,0.01
88,2022-02-28,1.3494,1.3494,0.11
89,2022-02-25,1.3479,1.3479,0.31
90,2022-02-24,1.3438,1.3438,-0.57
91,2022-02-23,1.3515,1.3515,0.57
92,2022-02-22,1.3438,1.3438,-0.35
93,2022-02-21,1.3485,1.3485,-0.05
94,2022-02-18,1.3492,1.3492,0.13
95,2022-02-17,1.3474,1.3474,0.28
96,2022-02-16,1.3437,1.3437,0.12
97,2022-02-15,1.3421,1.3421,0.37
98,2022-02-14,1.3372,1.3372,-0.85
99,2022-02-11,1.3486,1.3486,-0.6
100,2022-02-10,1.3568,1.3568,-0.15
101,2022-02-09,1.3589,1.3589,0.58
102,2022-02-08,1.3511,1.3511,-0.16
103,2022-02-07,1.3533,1.3533,0.45
104,2022-01-28,1.3473,1.3473,-0.19
105,2022-01-27,1.3499,1.3499,-0.79
106,2022-01-26,1.3606,1.3606,0.29
107,2022-01-25,1.3567,1.3567,-1.04
108,2022-01-24,1.3709,1.3709,0.37
109,2022-01-21,1.3659,1.3659,-0.38
110,2022-01-20,1.3711,1.3711,-0.27
111,2022-01-19,1.3748,1.3748,-0.49
112,2022-01-18,1.3816,1.3816,0.23
113,2022-01-17,1.3784,1.3784,0.62
114,2022-01-14,1.3699,1.3699,-0.07
115,2022-01-13,1.3709,1.3709,-0.72
116,2022-01-12,1.3809,1.3809,0.66
117,2022-01-11,1.3719,1.3719,-0.54
118,2022-01-10,1.3793,1.3793,0.12
119,2022-01-07,1.3777,1.3777,-0.44
120,2022-01-06,1.3838,1.3838,-0.03
121,2022-01-05,1.3842,1.3842,-1.01
122,2022-01-04,1.3983,1.3983,-0.55
123,2021-12-31,1.406,1.406,0.41
124,2021-12-30,1.4002,1.4002,0.38
125,2021-12-29,1.3949,1.3949,-0.21
126,2021-12-28,1.3979,1.3979,0.43
127,2021-12-27,1.3919,1.3919,-0.06
128,2021-12-24,1.3928,1.3928,-0.59
129,2021-12-23,1.4011,1.4011,0.29
130,2021-12-22,1.3971,1.3971,0.27
131,2021-12-21,1.3934,1.3934,0.38
132,2021-12-20,1.3881,1.3881,-0.9
133,2021-12-17,1.4007,1.4007,-0.67
134,2021-12-16,1.4101,1.4101,0.23
135,2021-12-15,1.4068,1.4068,-0.26
136,2021-12-14,1.4105,1.4105,-0.25
137,2021-12-13,1.4141,1.4141,0.15
138,2021-12-10,1.412,1.412,0.21
139,2021-12-09,1.4091,1.4091,0.21
140,2021-12-08,1.4061,1.4061,0.82
141,2021-12-07,1.3947,1.3947,-0.76
142,2021-12-06,1.4054,1.4054,-0.73
143,2021-12-03,1.4157,1.4157,0.37
144,2021-12-02,1.4105,1.4105,-0.16
145,2021-12-01,1.4128,1.4128,-0.12
146,2021-11-30,1.4145,1.4145,-0.01
147,2021-11-29,1.4147,1.4147,0.62
148,2021-11-26,1.406,1.406,0.19
149,2021-11-25,1.4034,1.4034,-0.16
150,2021-11-24,1.4056,1.4056,-0.25
151,2021-11-23,1.4091,1.4091,-0.23
152,2021-11-22,1.4124,1.4124,0.95
153,2021-11-19,1.3991,1.3991,0.48
154,2021-11-18,1.3924,1.3924,0.03
155,2021-11-17,1.392,1.392,0.69
156,2021-11-16,1.3825,1.3825,-0.51
157,2021-11-15,1.3896,1.3896,-0.51
158,2021-11-12,1.3967,1.3967,0.36
159,2021-11-11,1.3917,1.3917,0.39
160,2021-11-10,1.3863,1.3863,-0.24
161,2021-11-09,1.3897,1.3897,0.46
162,2021-11-08,1.3834,1.3834,0.62
163,2021-11-05,1.3749,1.3749,-0.61
164,2021-11-04,1.3833,1.3833,0.46
165,2021-11-03,1.3769,1.3769,-0.3
166,2021-11-02,1.3811,1.3811,-0.25
167,2021-11-01,1.3845,1.3845,-0.08
168,2021-10-29,1.3856,1.3856,0.74
169,2021-10-28,1.3754,1.3754,-0.64
170,2021-10-27,1.3842,1.3842,0.06
171,2021-10-26,1.3834,1.3834,0
172,2021-10-25,1.3834,1.3834,0.69
173,2021-10-22,1.3739,1.3739,-0.28
174,2021-10-21,1.3777,1.3777,-0.18
175,2021-10-20,1.3802,1.3802,0.2
176,2021-10-19,1.3775,1.3775,0.33
177,2021-10-18,1.373,1.373,0.42
178,2021-10-15,1.3673,1.3673,0.46
179,2021-10-14,1.3611,1.3611,0.16
180,2021-10-13,1.3589,1.3589,0.7
181,2021-10-12,1.3495,1.3495,-0.92
182,2021-10-11,1.362,1.362,-0.23
183,2021-10-08,1.3651,1.3651,-0.52
184,2021-09-30,1.3722,1.3722,1.18
185,2021-09-29,1.3562,1.3562,-1.14
186,2021-09-28,1.3718,1.3718,-0.13
187,2021-09-27,1.3736,1.3736,-1.04
188,2021-09-24,1.3881,1.3881,-0.35
189,2021-09-23,1.393,1.393,-0.06
190,2021-09-22,1.3938,1.3938,0.06
191,2021-09-17,1.3929,1.3929,0.05
192,2021-09-16,1.3922,1.3922,-1.35
193,2021-09-15,1.4113,1.4113,0.21
194,2021-09-14,1.4084,1.4084,-0.16
195,2021-09-13,1.4106,1.4106,-0.03
196,2021-09-10,1.411,1.411,0.41
