,日期,单位净值,累计净值,涨跌幅
0,2021-09-23,1.3884,1.4454,-0.04
1,2021-09-22,1.3889,1.4459,-0.08
2,2021-09-17,1.39,1.447,0.22
3,2021-09-16,1.387,1.444,-0.2
4,2021-09-15,1.3898,1.4468,-0.17
5,2021-09-14,1.3921,1.4491,-0.21
6,2021-09-13,1.395,1.452,-0.09
7,2021-09-10,1.3963,1.4533,0.2
8,2021-09-09,1.3935,1.4505,-0.01
9,2021-09-08,1.3936,1.4506,-0.11
10,2021-09-07,1.3952,1.4522,0.16
11,2021-09-06,1.393,1.45,0.14
12,2021-09-03,1.391,1.448,0.09
13,2021-09-02,1.3897,1.4467,0.16
14,2021-09-01,1.3875,1.4445,0.32
15,2021-08-31,1.3831,1.4401,0.15
16,2021-08-30,1.381,1.438,-0.05
17,2021-08-27,1.3817,1.4387,0.09
18,2021-08-26,1.3804,1.4374,-0.24
19,2021-08-25,1.3837,1.4407,0.06
20,2021-08-24,1.3829,1.4399,0.12
21,2021-08-23,1.3813,1.4383,0.15
22,2021-08-20,1.3792,1.4362,-0.15
23,2021-08-19,1.3813,1.4383,-0.2
24,2021-08-18,1.384,1.441,0.11
25,2021-08-17,1.3825,1.4395,-0.29
26,2021-08-16,1.3865,1.4435,0.12
27,2021-08-13,1.3849,1.4419,0.01
28,2021-08-12,1.3848,1.4418,-0.07
29,2021-08-11,1.3858,1.4428,-0.09
30,2021-08-10,1.3871,1.4441,0.19
31,2021-08-09,1.3845,1.4415,0.21
32,2021-08-06,1.3816,1.4386,0.01
33,2021-08-05,1.3814,1.4384,0.04
34,2021-08-04,1.3808,1.4378,0.15
35,2021-08-03,1.3788,1.4358,0.1
36,2021-08-02,1.3774,1.4344,0.58
37,2021-07-30,1.3694,1.4264,0
38,2021-07-29,1.3694,1.4264,0.12
39,2021-07-28,1.3677,1.4247,-0.04
40,2021-07-27,1.3683,1.4253,-0.41
41,2021-07-26,1.3739,1.4309,-0.27
42,2021-07-23,1.3776,1.4346,-0.15
43,2021-07-22,1.3797,1.4367,0.17
44,2021-07-21,1.3773,1.4343,0.18
45,2021-07-20,1.3748,1.4318,0.03
46,2021-07-19,1.3744,1.4314,0.09
47,2021-07-16,1.3732,1.4302,-0.19
48,2021-07-15,1.3758,1.4328,0.16
49,2021-07-14,1.3736,1.4306,-0.12
50,2021-07-13,1.3753,1.4323,0.23
51,2021-07-12,1.3721,1.4291,0.13
52,2021-07-09,1.3703,1.4273,0.16
53,2021-07-08,1.3681,1.4251,-0.02
54,2021-07-07,1.3684,1.4254,0.12
55,2021-07-06,1.3668,1.4238,0.14
56,2021-07-05,1.3649,1.4219,-0.02
57,2021-07-02,1.3652,1.4222,-0.26
58,2021-07-01,1.3687,1.4257,0.15
59,2021-06-30,1.3666,1.4236,0.06
60,2021-06-29,1.3658,1.4228,-0.14
61,2021-06-28,1.3677,1.4247,-0.01
62,2021-06-25,1.3679,1.4249,0.23
63,2021-06-24,1.3648,1.4218,-0.04
64,2021-06-23,1.3654,1.4224,0.22
65,2021-06-22,1.3624,1.4194,0.33
66,2021-06-21,1.3579,1.4149,0.04
67,2021-06-18,1.3573,1.4143,0.01
68,2021-06-17,1.3572,1.4142,0.07
69,2021-06-16,1.3562,1.4132,-0.13
70,2021-06-15,1.358,1.415,-0.1
71,2021-06-11,1.3594,1.4164,-0.14
72,2021-06-10,1.3613,1.4183,0.14
73,2021-06-09,1.3594,1.4164,0.02
74,2021-06-08,1.3591,1.4161,0.01
75,2021-06-07,1.359,1.416,-0.01
76,2021-06-04,1.3591,1.4161,0.08
77,2021-06-03,1.358,1.415,-0.07
78,2021-06-02,1.359,1.416,-0.04
79,2021-06-01,1.3595,1.4165,0.05
80,2021-05-31,1.3588,1.4158,-0.01
81,2021-05-28,1.359,1.416,-0.01
82,2021-05-27,1.3591,1.4161,0.09
83,2021-05-26,1.3579,1.4149,0.13
84,2021-05-25,1.3561,1.4131,0.28
85,2021-05-24,1.3523,1.4093,0.09
86,2021-05-21,1.3511,1.4081,-0.03
87,2021-05-20,1.3515,1.4085,0.09
88,2021-05-19,1.3503,1.4073,-0.11
89,2021-05-18,1.3518,1.4088,0.09
90,2021-05-17,1.3506,1.4076,0.36
91,2021-05-14,1.3457,1.4027,0.21
92,2021-05-13,1.3429,1.3999,-0.3
93,2021-05-12,1.3469,1.4039,0.02
94,2021-05-11,1.3466,1.4036,0.01
95,2021-05-10,1.3464,1.4034,0.01
96,2021-05-07,1.3463,1.4033,-0.25
97,2021-05-06,1.3497,1.4067,0.01
98,2021-04-30,1.3495,1.4065,-0.01
99,2021-04-29,1.3496,1.4066,0.1
100,2021-04-28,1.3482,1.4052,-0.03
101,2021-04-27,1.3486,1.4056,0.07
102,2021-04-26,1.3476,1.4046,-0.1
103,2021-04-23,1.3489,1.4059,0.1
104,2021-04-22,1.3476,1.4046,0.04
105,2021-04-21,1.3471,1.4041,0.06
106,2021-04-20,1.3463,1.4033,0.01
107,2021-04-19,1.3462,1.4032,0.51
