,日期,单位净值,累计净值,涨跌幅
0,2022-07-11,1.3135,1.5072,-0.33
1,2022-07-08,1.3178,1.5115,-0.17
2,2022-07-07,1.3201,1.5138,0.14
3,2022-07-06,1.3183,1.512,-0.3
4,2022-07-05,1.3223,1.516,-0.1
5,2022-07-04,1.3236,1.5173,0.2
6,2022-07-01,1.3209,1.5146,-0.05
7,2022-06-30,1.3215,1.5152,0.4
8,2022-06-29,1.3162,1.5099,-0.29
9,2022-06-28,1.32,1.5137,0.16
10,2022-06-27,1.3179,1.5116,0.23
11,2022-06-24,1.3149,1.5086,0.24
12,2022-06-23,1.3117,1.5054,0.46
13,2022-06-22,1.3057,1.4994,-0.19
14,2022-06-21,1.3082,1.5019,-0.09
15,2022-06-20,1.3094,1.5031,0.18
16,2022-06-17,1.307,1.5007,0.34
17,2022-06-16,1.3026,1.4963,0.01
18,2022-06-15,1.3025,1.4962,0.04
19,2022-06-14,1.302,1.4957,0.02
20,2022-06-13,1.3018,1.4955,-0.15
21,2022-06-10,1.3038,1.4975,0.38
22,2022-06-09,1.2989,1.4926,-0.26
23,2022-06-08,1.3023,1.496,0.13
24,2022-06-07,1.3006,1.4943,-0.01
25,2022-06-06,1.3007,1.4944,0.53
26,2022-06-02,1.2939,1.4876,0.17
27,2022-06-01,1.2917,1.4854,-0.01
28,2022-05-31,1.2918,1.4855,0.28
29,2022-05-30,1.2882,1.4819,0.15
30,2022-05-27,1.2863,1.48,0.05
31,2022-05-26,1.2857,1.4794,0.06
32,2022-05-25,1.2849,1.4786,0.1
33,2022-05-24,1.2836,1.4773,-0.53
34,2022-05-23,1.2904,1.4841,0.01
35,2022-05-20,1.2903,1.484,0.28
36,2022-05-19,1.2867,1.4804,0.09
37,2022-05-18,1.2855,1.4792,-0.02
38,2022-05-17,1.2858,1.4795,0.27
39,2022-05-16,1.2824,1.4761,-0.09
40,2022-05-13,1.2836,1.4773,0.13
41,2022-05-12,1.2819,1.4756,-0.02
42,2022-05-11,1.2821,1.4758,0.32
43,2022-05-10,1.278,1.4717,0.26
44,2022-05-09,1.2747,1.4684,-0.08
45,2022-05-06,1.2757,1.4694,-0.36
46,2022-05-05,1.2803,1.474,0
47,2022-04-29,1.2803,1.474,0.44
48,2022-04-28,1.2747,1.4684,0.14
49,2022-04-27,1.2729,1.4666,0.5
50,2022-04-26,1.2666,1.4603,-0.11
51,2022-04-25,1.268,1.4617,-0.78
52,2022-04-22,1.278,1.4717,0.13
53,2022-04-21,1.2764,1.4701,-0.27
54,2022-04-20,1.2798,1.4735,-0.31
55,2022-04-19,1.2838,1.4775,-0.13
56,2022-04-18,1.2855,1.4792,-0.12
57,2022-04-15,1.2871,1.4808,-0.01
58,2022-04-14,1.2872,1.4809,0.3
59,2022-04-13,1.2834,1.4771,-0.16
60,2022-04-12,1.2855,1.4792,0.3
61,2022-04-11,1.2817,1.4754,-0.56
62,2022-04-08,1.2889,1.4826,0.09
63,2022-04-07,1.2877,1.4814,-0.23
64,2022-04-06,1.2907,1.4844,-0.09
65,2022-04-01,1.2918,1.4855,0.22
66,2022-03-31,1.289,1.4827,-0.19
67,2022-03-30,1.2915,1.4852,0.62
68,2022-03-29,1.2835,1.4772,-0.09
69,2022-03-28,1.2847,1.4784,-0.12
70,2022-03-25,1.2863,1.48,-0.37
71,2022-03-24,1.2911,1.4848,-0.13
72,2022-03-23,1.2928,1.4865,0.13
73,2022-03-22,1.2911,1.4848,-0.06
74,2022-03-21,1.2919,1.4856,0
75,2022-03-18,1.2919,1.4856,0.11
76,2022-03-17,1.2905,1.4842,0.37
77,2022-03-16,1.2857,1.4794,0.81
78,2022-03-15,1.2754,1.4691,-0.73
79,2022-03-14,1.2848,1.4785,-0.5
80,2022-03-11,1.2912,1.4849,-0.01
81,2022-03-10,1.2913,1.485,0.36
82,2022-03-09,1.2867,1.4804,-0.16
83,2022-03-08,1.2887,1.4824,-0.36
84,2022-03-07,1.2934,1.4871,-0.59
85,2022-03-04,1.3011,1.4948,-0.28
86,2022-03-03,1.3047,1.4984,-0.26
87,2022-03-02,1.3081,1.5018,-0.25
88,2022-03-01,1.3114,1.5051,0.11
89,2022-02-28,1.31,1.5037,0.08
90,2022-02-25,1.3089,1.5026,0.28
91,2022-02-24,1.3053,1.499,-0.35
92,2022-02-23,1.3099,1.5036,0.34
93,2022-02-22,1.3055,1.4992,-0.27
94,2022-02-21,1.309,1.5027,-0.06
95,2022-02-18,1.3098,1.5035,0.02
96,2022-02-17,1.3095,1.5032,0.14
97,2022-02-16,1.3077,1.5014,0.11
98,2022-02-15,1.3063,1.5,0.31
99,2022-02-14,1.3022,1.4959,-0.21
