,日期,单位净值,累计净值,涨跌幅
0,2021-09-23,1.577,1.577,0
1,2021-09-22,1.577,1.577,0.13
2,2021-09-17,1.575,1.575,0.13
3,2021-09-16,1.573,1.573,-0.32
4,2021-09-15,1.578,1.578,-0.13
5,2021-09-14,1.58,1.58,-0.25
6,2021-09-13,1.584,1.584,0.25
7,2021-09-10,1.58,1.58,0.06
8,2021-09-09,1.579,1.579,0.19
9,2021-09-08,1.576,1.576,0.06
10,2021-09-07,1.575,1.575,0.45
11,2021-09-06,1.568,1.568,0.38
12,2021-09-03,1.562,1.562,-0.19
13,2021-09-02,1.565,1.565,0.19
14,2021-09-01,1.562,1.562,-0.06
15,2021-08-31,1.563,1.563,0.06
16,2021-08-30,1.562,1.562,0
17,2021-08-27,1.562,1.562,0.19
18,2021-08-26,1.559,1.559,-0.38
19,2021-08-25,1.565,1.565,0
20,2021-08-24,1.565,1.565,0.06
21,2021-08-23,1.564,1.564,0.39
22,2021-08-20,1.558,1.558,-0.19
23,2021-08-19,1.561,1.561,-0.06
24,2021-08-18,1.562,1.562,0.19
25,2021-08-17,1.559,1.559,-0.38
26,2021-08-16,1.565,1.565,-0.06
27,2021-08-13,1.566,1.566,0
28,2021-08-12,1.566,1.566,-0.06
29,2021-08-11,1.567,1.567,-0.06
30,2021-08-10,1.568,1.568,0.13
31,2021-08-09,1.566,1.566,0.19
32,2021-08-06,1.563,1.563,0
33,2021-08-05,1.563,1.563,-0.06
34,2021-08-04,1.564,1.564,0.26
35,2021-08-03,1.56,1.56,-0.13
36,2021-08-02,1.562,1.562,0.39
37,2021-07-30,1.556,1.556,0
38,2021-07-29,1.556,1.556,0.32
39,2021-07-28,1.551,1.551,0
40,2021-07-27,1.551,1.551,-0.51
41,2021-07-26,1.559,1.559,-0.38
42,2021-07-23,1.565,1.565,-0.19
43,2021-07-22,1.568,1.568,0.06
44,2021-07-21,1.567,1.567,0.19
45,2021-07-20,1.564,1.564,-0.26
46,2021-07-19,1.568,1.568,0.13
47,2021-07-16,1.566,1.566,-0.13
48,2021-07-15,1.568,1.568,0.26
49,2021-07-14,1.564,1.564,-0.13
50,2021-07-13,1.566,1.566,0.26
51,2021-07-12,1.562,1.562,0.32
52,2021-07-09,1.557,1.557,0.26
53,2021-07-08,1.553,1.553,-0.06
54,2021-07-07,1.554,1.554,0.32
55,2021-07-06,1.549,1.549,0.06
56,2021-07-05,1.548,1.548,0.13
57,2021-07-02,1.546,1.546,-0.39
58,2021-07-01,1.552,1.552,0.13
59,2021-06-30,1.55,1.55,0.26
60,2021-06-29,1.546,1.546,-0.06
61,2021-06-28,1.547,1.547,0.19
62,2021-06-25,1.544,1.544,0.46
63,2021-06-24,1.537,1.537,0.07
64,2021-06-23,1.536,1.536,0.13
65,2021-06-22,1.534,1.534,0.52
66,2021-06-21,1.526,1.526,0.26
67,2021-06-18,1.522,1.522,0
68,2021-06-17,1.522,1.522,0.07
69,2021-06-16,1.521,1.521,-0.2
70,2021-06-15,1.524,1.524,-0.2
