,日期,单位净值,累计净值,涨跌幅
0,2022-07-11,2.0103,2.0103,-1.7
1,2022-07-08,2.0451,2.0451,-2.34
2,2022-07-07,2.0942,2.0942,1.88
3,2022-07-06,2.0556,2.0556,-0.62
4,2022-07-05,2.0685,2.0685,-0.47
5,2022-07-04,2.0783,2.0783,2.17
6,2022-07-01,2.0342,2.0342,1.01
7,2022-06-30,2.0138,2.0138,2.14
8,2022-06-29,1.9716,1.9716,-3.57
9,2022-06-28,2.0445,2.0445,1.18
10,2022-06-27,2.0207,2.0207,0.94
11,2022-06-24,2.0018,2.0018,1.62
12,2022-06-23,1.9698,1.9698,2.47
13,2022-06-22,1.9224,1.9224,0.05
14,2022-06-21,1.9215,1.9215,-1.68
15,2022-06-20,1.9543,1.9543,1.15
16,2022-06-17,1.9321,1.9321,4.3
17,2022-06-16,1.8524,1.8524,1.69
18,2022-06-15,1.8217,1.8217,-1.25
19,2022-06-14,1.8447,1.8447,-0.92
20,2022-06-13,1.8618,1.8618,2.29
21,2022-06-10,1.8202,1.8202,2.9
22,2022-06-09,1.7689,1.7689,-1.6
23,2022-06-08,1.7977,1.7977,0.76
24,2022-06-07,1.7842,1.7842,-0.28
25,2022-06-06,1.7892,1.7892,3.92
26,2022-06-02,1.7217,1.7217,2.68
27,2022-06-01,1.6768,1.6768,0.99
28,2022-05-31,1.6604,1.6604,1.46
29,2022-05-30,1.6365,1.6365,1.04
30,2022-05-27,1.6197,1.6197,-0.16
31,2022-05-26,1.6223,1.6223,0.82
32,2022-05-25,1.6091,1.6091,0.32
33,2022-05-24,1.6039,1.6039,-3.78
34,2022-05-23,1.6669,1.6669,0.57
35,2022-05-20,1.6574,1.6574,1.29
36,2022-05-19,1.6363,1.6363,1.61
37,2022-05-18,1.6104,1.6104,0.02
38,2022-05-17,1.6101,1.6101,2.22
39,2022-05-16,1.5751,1.5751,-0.62
40,2022-05-13,1.5849,1.5849,0.04
41,2022-05-12,1.5842,1.5842,-0.23
42,2022-05-11,1.5878,1.5878,2.17
