,日期,单位净值,累计净值,涨跌幅
0,2022-07-11,1.8598,1.8598,-2.12
1,2022-07-08,1.9001,1.9001,-0.71
2,2022-07-07,1.9137,1.9137,0.84
3,2022-07-06,1.8977,1.8977,-1.23
4,2022-07-05,1.9214,1.9214,-0.71
5,2022-07-04,1.9352,1.9352,1.3
6,2022-07-01,1.9104,1.9104,0.22
7,2022-06-30,1.9063,1.9063,2.4
8,2022-06-29,1.8617,1.8617,-1.82
9,2022-06-28,1.8962,1.8962,0.81
10,2022-06-27,1.8809,1.8809,1.37
11,2022-06-24,1.8555,1.8555,0.79
12,2022-06-23,1.8409,1.8409,1.43
13,2022-06-22,1.8149,1.8149,-1.19
14,2022-06-21,1.8368,1.8368,-0.86
15,2022-06-20,1.8527,1.8527,0.34
16,2022-06-17,1.8465,1.8465,1.64
17,2022-06-16,1.8167,1.8167,-0.29
18,2022-06-15,1.822,1.822,-0.2
19,2022-06-14,1.8257,1.8257,0.2
20,2022-06-13,1.8221,1.8221,0.32
21,2022-06-10,1.8163,1.8163,1.96
22,2022-06-09,1.7813,1.7813,-0.93
23,2022-06-08,1.7981,1.7981,1.03
24,2022-06-07,1.7797,1.7797,-0.04
25,2022-06-06,1.7804,1.7804,2.74
26,2022-06-02,1.733,1.733,0.42
27,2022-06-01,1.7258,1.7258,-0.23
28,2022-05-31,1.7298,1.7298,1.08
29,2022-05-30,1.7113,1.7113,0.9
30,2022-05-27,1.696,1.696,0.04
31,2022-05-26,1.6954,1.6954,0.76
32,2022-05-25,1.6826,1.6826,0.92
33,2022-05-24,1.6673,1.6673,-2.92
34,2022-05-23,1.7174,1.7174,1.2
35,2022-05-20,1.6971,1.6971,1.4
36,2022-05-19,1.6736,1.6736,0.89
37,2022-05-18,1.6588,1.6588,-0.23
38,2022-05-17,1.6627,1.6627,1.39
39,2022-05-16,1.6399,1.6399,-0.24
40,2022-05-13,1.6439,1.6439,0.72
41,2022-05-12,1.6321,1.6321,-0.4
42,2022-05-11,1.6386,1.6386,1.49
43,2022-05-10,1.6145,1.6145,1.25
44,2022-05-09,1.5946,1.5946,-0.03
45,2022-05-06,1.595,1.595,-2.35
46,2022-05-05,1.6334,1.6334,1.03
47,2022-04-29,1.6167,1.6167,3.58
48,2022-04-28,1.5608,1.5608,0.33
49,2022-04-27,1.5557,1.5557,4.91
50,2022-04-26,1.4829,1.4829,-1.61
51,2022-04-25,1.5072,1.5072,-6.01
52,2022-04-22,1.6035,1.6035,-0.56
53,2022-04-21,1.6126,1.6126,-2.91
54,2022-04-20,1.6609,1.6609,-1.57
55,2022-04-19,1.6874,1.6874,-0.02
56,2022-04-18,1.6877,1.6877,0.45
57,2022-04-15,1.6802,1.6802,-0.34
58,2022-04-14,1.686,1.686,0.49
59,2022-04-13,1.6777,1.6777,-1.33
60,2022-04-12,1.7003,1.7003,1.03
61,2022-04-11,1.6829,1.6829,-3.73
62,2022-04-08,1.7481,1.7481,-0.36
63,2022-04-07,1.7545,1.7545,-1.48
64,2022-04-06,1.7808,1.7808,-1.02
65,2022-04-01,1.7992,1.7992,0.42
66,2022-03-31,1.7916,1.7916,-1.03
67,2022-03-30,1.8102,1.8102,2.47
68,2022-03-29,1.7665,1.7665,-0.18
69,2022-03-28,1.7697,1.7697,-1.26
70,2022-03-25,1.7922,1.7922,-1.83
71,2022-03-24,1.8257,1.8257,-0.59
72,2022-03-23,1.8365,1.8365,0.62
73,2022-03-22,1.8251,1.8251,-0.63
74,2022-03-21,1.8367,1.8367,1
75,2022-03-18,1.8186,1.8186,-0.1
76,2022-03-17,1.8205,1.8205,1.57
77,2022-03-16,1.7924,1.7924,3.7
78,2022-03-15,1.7284,1.7284,-3.32
79,2022-03-14,1.7878,1.7878,-2.65
