,日期,单位净值,累计净值,涨跌幅
0,2022-07-11,1.6313,1.6313,-1.95
1,2022-07-08,1.6637,1.6637,0.45
2,2022-07-07,1.6563,1.6563,-0.26
3,2022-07-06,1.6606,1.6606,-2.45
4,2022-07-05,1.7023,1.7023,-1.14
5,2022-07-04,1.7219,1.7219,0.57
6,2022-07-01,1.7122,1.7122,-0.77
7,2022-06-30,1.7255,1.7255,3.67
8,2022-06-29,1.6644,1.6644,-0.88
9,2022-06-28,1.6792,1.6792,0.02
10,2022-06-27,1.6788,1.6788,2.97
11,2022-06-24,1.6304,1.6304,2.02
12,2022-06-23,1.5981,1.5981,0.92
13,2022-06-22,1.5836,1.5836,-1.41
14,2022-06-21,1.6062,1.6062,-0.66
15,2022-06-20,1.6169,1.6169,1.61
16,2022-06-17,1.5913,1.5913,1.18
17,2022-06-16,1.5728,1.5728,0.23
18,2022-06-15,1.5692,1.5692,1.11
19,2022-06-14,1.5519,1.5519,1.35
20,2022-06-13,1.5312,1.5312,-1.03
21,2022-06-10,1.5472,1.5472,1.03
22,2022-06-09,1.5315,1.5315,-1.85
23,2022-06-08,1.5604,1.5604,0.74
24,2022-06-07,1.549,1.549,1.13
25,2022-06-06,1.5317,1.5317,1.55
26,2022-06-02,1.5083,1.5083,-0.24
27,2022-06-01,1.5119,1.5119,-0.72
28,2022-05-31,1.5228,1.5228,3.45
29,2022-05-30,1.472,1.472,3.08
30,2022-05-27,1.428,1.428,-0.04
31,2022-05-26,1.4286,1.4286,-0.05
32,2022-05-25,1.4293,1.4293,0.13
33,2022-05-24,1.4274,1.4274,-1.96
34,2022-05-23,1.456,1.456,-1.07
35,2022-05-20,1.4717,1.4717,3.99
36,2022-05-19,1.4153,1.4153,-1.01
37,2022-05-18,1.4298,1.4298,-0.13
38,2022-05-17,1.4317,1.4317,0.33
39,2022-05-16,1.427,1.427,-1.1
40,2022-05-13,1.4428,1.4428,-0.68
41,2022-05-12,1.4527,1.4527,0.78
42,2022-05-11,1.4414,1.4414,0.66
