002462 => 002414, shares=109620.73, amount=128694.73
004454 => 001770, shares=72729.43, amount=128694.73
003806 => 002364, shares=95089.95, amount=128694.73
005050 => 002147, shares=51107.55, amount=114951.10
001217 => 001338, shares=40739.07, amount=128694.73
001523 => 001711, shares=83050.29, amount=128694.73
005178 => 002091, shares=99624.35, amount=128694.73
004235 => 002117, shares=29428.05, amount=128694.73
005216 => 003187, shares=98692.28, amount=128694.73
003851 => 003344, shares=104029.37, amount=128694.73
003858 => 003412, shares=64673.97, amount=128694.73
004569 => 003503, shares=54005.34, amount=128694.73
002084 => 165527, shares=43541.51, amount=109197.75
004454 => 519769, shares=10941.57, amount=19361.10
001217 => 519769, shares=5787.84, amount=18283.77
002658 => 519769, shares=10776.72, amount=17308.49
001425 => 519769, shares=7518.11, amount=17104.46
001523 => 519769, shares=10016.95, amount=15522.26
003806 => 519769, shares=10779.37, amount=14588.80
005178 => 519769, shares=10726.80, amount=13856.88
002462 => 165527, shares=11319.89, amount=13289.55
005216 => 002147, shares=9607.35, amount=12527.98
003851 => 519769, shares=9662.06, amount=11952.93
003858 => 165527, shares=2238.46, amount=4454.31
002079 => 165527, shares=795.06, amount=1753.12
004569 => 002147, shares=510.13, amount=1215.65
004569 => 519769, shares=247.23, amount=589.16
002079 => 519769, shares=57.53, amount=126.86

acc2
.001425 => 001510, shares=56566.63, amount=128694.73
.002079 => 003592, shares=58364.96, amount=128694.73
.005353 => 004011, shares=52547.60, amount=118973.02
.003951 => 160226, shares=86570.92, amount=113624.33
.004235 => 160226, shares=2914.41, amount=12745.31
.001301 => 004011, shares=4262.45, amount=8921.31
.004569 => 160226, shares=975.70, amount=2325.09
.002079 => 004011, shares=362.99, amount=800.40
